% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16 +6.299977602e+01 +6.299977602e+01 +1.091897760e+02 +1.091897760e+02 -1.4714e+00 +7.7155e-01 +1.2699e+00 +5.9460e-01 +1.1354e+00 -4.4749e+00 +3.0519e+00 -4.4474e+00 +2.3755e+00 +2.1273e+00 -1.2561e+00 +2.3500e-01 -4.0448e+00 -1.1229e+00 -2.4942e+00 +1.1602e+00 -2.5710e+00 +1.5194e-01 -7.7036e-01 +4.5902e+00
% function evaluation | noise-free fitness - Fopt (-3.994000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.129782532e+02 +1.129782532e+02 +7.303825320e+01 +7.303825320e+01 -2.4189e+00 +3.4381e+00 -4.9474e+00 +5.7962e-01 +1.9990e+00 +5.7628e-01 -1.6462e+00 +2.1376e+00 +2.6839e+00 +1.0030e+00 +2.1963e+00 -3.7104e+00 -5.1557e-01 +8.8216e-01 -1.3225e+00 +2.0146e+00 +4.9757e+00 +1.2351e+00 -1.8752e+00 +1.1899e+00
5 +5.682528121e+01 +5.682528121e+01 +1.688528121e+01 +1.688528121e+01 +3.1273e+00 +3.0004e-01 +6.7499e-01 -3.4769e+00 +4.6705e+00 -3.2522e+00 +7.9964e-01 +3.6645e-01 -3.1318e+00 +1.0469e+00 +3.4130e-01 -2.0358e+00 +4.7910e+00 +7.8276e-01 +1.5951e+00 +2.7662e+00 -2.3333e-01 +2.8003e+00 +5.4858e-01 -4.1361e+00
63 +3.595719753e+01 +3.595719753e+01 -3.982802466e+00 -3.982802466e+00 -3.9440e+00 -2.4594e+00 -2.4896e+00 -1.0464e+00 +2.0546e+00 -3.5206e+00 +1.9391e+00 -2.8439e-01 +2.7041e+00 +3.9418e+00 -1.5812e-01 -6.8133e-01 -9.1512e-01 -2.5450e-01 +3.6915e+00 +3.1146e+00 -1.0713e+00 +1.6380e+00 -7.2392e-01 +3.4580e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.586229301e+02 +1.586229301e+02 -8.413770699e+02 -8.413770699e+02 +4.4319e+00 +3.2427e+00 -1.2739e+00 -1.7366e+00 -1.0560e-01 +4.6197e-01 -1.9189e+00 +1.6928e+00 +4.3852e+00 -4.9061e-01 +3.3834e+00 +3.4179e+00 +3.5904e+00 +3.4156e+00 +3.0948e+00 +8.0206e-01 -4.5419e-01 +3.1817e+00 +1.7935e+00 +3.8024e+00
2 +1.124059039e+02 +1.124059039e+02 -8.875940961e+02 -8.875940961e+02 +1.7341e+00 +3.2819e+00 +3.4116e+00 +2.6446e+00 +1.4036e+00 -1.9809e+00 -4.1604e+00 +4.4815e+00 +3.1838e+00 -8.7440e-01 +4.7721e+00 -3.9310e+00 +1.0946e+00 +1.1819e+00 +4.5524e+00 +1.0735e+00 -2.1858e+00 -4.3396e+00 +1.9026e+00 -4.0046e+00
8 +7.380912408e+01 +7.380912408e+01 -9.261908759e+02 -9.261908759e+02 -4.2580e+00 -1.6759e+00 +3.1442e+00 -3.3078e+00 -2.3245e-01 -3.8089e+00 +3.0680e+00 +4.9251e+00 -3.2296e+00 -9.6431e-01 -1.0383e+00 +3.6498e+00 -4.4844e+00 +9.5361e-02 -2.2817e+00 +4.1389e+00 -3.3698e+00 -3.9526e+00 +2.3475e+00 +1.5805e+00
13 +6.053334789e+01 +6.053334789e+01 -9.394666521e+02 -9.394666521e+02 +1.2131e+00 -4.4324e+00 +1.8601e+00 -4.4771e+00 +2.3856e+00 -2.1771e-01 +2.0964e+00 +3.2949e+00 +1.6565e+00 -1.7113e+00 -1.4805e+00 -1.5695e+00 -4.1040e+00 +2.1588e+00 -4.8489e+00 -1.0432e+00 -1.2451e+00 -4.4618e+00 +3.9910e+00 -3.5266e+00
